职业ID,职业名称,技能ID,技能名称,槽位,技能类型,解锁等级,资源类型,资源消耗,冷却毫秒,伤害倍率,射程,AOE半径,效果标签,skillEffect类型,skillEffect模式,游戏内描述,实现类型,实现说明,配置来源文件,主要代码文件
beastmaster,兽王,beastmaster_adv2_1,狼群,adv2_1,active,45,focus,82,13000,2.45,135,0,,,,对 135 码内最近敌人造成 245% 攻击力伤害。 消耗 82 点集中，冷却 13.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
beastmaster,兽王,beastmaster_adv2_2,野兽融合,adv2_2,active,50,focus,90,14000,2.5,135,0,,,,对 135 码内最近敌人造成 250% 攻击力伤害。 消耗 90 点集中，冷却 14.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
beastmaster,兽王,beastmaster_adv2_awaken,召唤熊,adv2_awaken,active,40,focus,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点集中，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
beastmaster,兽王,beastmaster_legendary,野性之心,legendary,passive,60,focus,0,0,0,135,0,passive,,,【传说被动】野性之心：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
beastmaster,兽王,beastmaster_ultimate,自然之怒,ultimate,active,55,focus,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点集中，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
berserker,狂战士,berserker_adv1_1,旋风斩,adv1_1,active,25,rage,52,9000,2,120,0,,,,对 120 码内最近敌人造成 200% 攻击力伤害。 消耗 52 点怒气，冷却 9.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
berserker,狂战士,berserker_adv1_2,嗜血,adv1_2,active,30,rage,60,10000,2.05,120,0,,,,对 120 码内最近敌人造成 205% 攻击力伤害。 消耗 60 点怒气，冷却 10.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
berserker,狂战士,berserker_adv1_3,断筋,adv1_3,active,35,rage,67,11000,2.1,120,0,control,slow,hybrid,【技能】对 120 码内敌人造成 210% 攻击力伤害，减速 50%。 消耗 67 点怒气，冷却 11.0 秒。,hybrid:slow,伤害+减速 — monster.slowEffects,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
berserker,狂战士,berserker_adv1_awaken,狂暴,adv1_awaken,active,20,rage,45,8000,0,0,0,buff,berserk,primary,【狂暴】狂暴：8 秒内攻击力提升 25%，防御降低 15%。 消耗 45 点怒气，冷却 8.0 秒。,primary:berserk,狂暴 — attackPercent/attackSpeed/defensePenalty Buff,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
deadeye,死神,deadeye_adv2_1,爆头,adv2_1,active,45,focus,82,13000,2.45,135,0,,,,对 135 码内最近敌人造成 245% 攻击力伤害。 消耗 82 点集中，冷却 13.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
deadeye,死神,deadeye_adv2_2,弹幕,adv2_2,active,50,focus,90,14000,2.5,135,0,,,,对 135 码内最近敌人造成 250% 攻击力伤害。 消耗 90 点集中，冷却 14.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
deadeye,死神,deadeye_adv2_awaken,狙击,adv2_awaken,active,40,focus,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点集中，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
deadeye,死神,deadeye_legendary,绝对精准,legendary,passive,60,focus,0,0,0,135,0,passive,,,【传说被动】绝对精准：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
deadeye,死神,deadeye_ultimate,死神之眼,ultimate,active,55,focus,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点集中，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
destroyer,毁灭者,destroyer_adv2_1,破甲一击,adv2_1,active,45,rage,82,13000,2.45,135,0,,,,对 135 码内最近敌人造成 245% 攻击力伤害。 消耗 82 点怒气，冷却 13.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
destroyer,毁灭者,destroyer_adv2_2,处决,adv2_2,active,50,rage,90,14000,2.5,135,0,,,,对 135 码内最近敌人造成 250% 攻击力伤害。 消耗 90 点怒气，冷却 14.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
destroyer,毁灭者,destroyer_adv2_awaken,毁灭重击,adv2_awaken,active,40,rage,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点怒气，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
destroyer,毁灭者,destroyer_legendary,血之渴望,legendary,passive,60,rage,0,0,0,135,0,passive,,,【传说被动】血之渴望：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
destroyer,毁灭者,destroyer_ultimate,狂怒,ultimate,active,55,rage,97,15000,0,0,0,buff,berserk,primary,【狂暴】狂怒：10 秒内攻击力提升 50%，攻速提升 50%。 消耗 97 点怒气，冷却 15.0 秒。,primary:berserk,狂暴 — attackPercent/attackSpeed/defensePenalty Buff,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
guardian,守护者,guardian_adv1_1,反击,adv1_1,active,25,rage,52,9000,2,120,0,,,,对 120 码内最近敌人造成 200% 攻击力伤害。 消耗 52 点怒气，冷却 9.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
guardian,守护者,guardian_adv1_2,守护之盾,adv1_2,active,30,rage,60,10000,0,0,0,defense,shield,primary,【护盾】守护之盾：获得相当于最大生命 20% 的护盾，持续 6 秒。 消耗 60 点怒气，冷却 10.0 秒。,primary:shield,护盾 — player.buffs.shieldRemaining，takeDamage 时吸收,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
guardian,守护者,guardian_adv1_3,铁壁,adv1_3,active,35,rage,67,11000,0,0,0,defense,damage_reduction,primary,【防御】铁壁：8 秒内减伤 40%。 消耗 67 点怒气，冷却 11.0 秒。,primary:damage_reduction,减伤 Buff — applyClassSkillPrimaryEffect → player.buffs + updateStats,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
guardian,守护者,guardian_adv1_awaken,守护光环,adv1_awaken,active,20,rage,45,8000,0,0,0,defense,damage_reduction,primary,【防御】守护光环：10 秒内减伤 15%。 消耗 45 点怒气，冷却 8.0 秒。,primary:damage_reduction,减伤 Buff — applyClassSkillPrimaryEffect → player.buffs + updateStats,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
illusionist,幻术师,illusionist_adv2_1,镜像大军,adv2_1,active,45,energy,82,13000,2.45,135,0,,,,对 135 码内最近敌人造成 245% 攻击力伤害。 消耗 82 点能量，冷却 13.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
illusionist,幻术师,illusionist_adv2_2,精神控制,adv2_2,active,50,energy,90,14000,2.5,135,0,,,,对 135 码内最近敌人造成 250% 攻击力伤害。 消耗 90 点能量，冷却 14.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
illusionist,幻术师,illusionist_adv2_awaken,幻境,adv2_awaken,active,40,energy,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点能量，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
illusionist,幻术师,illusionist_legendary,千面,legendary,passive,60,energy,0,0,0,135,0,passive,,,【传说被动】千面：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
illusionist,幻术师,illusionist_ultimate,虚实转换,ultimate,active,55,energy,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点能量，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
knight,骑士,knight_adv1_1,盾墙,adv1_1,active,25,rage,52,9000,0,0,0,defense,damage_reduction,primary,【防御】盾墙：4 秒内减伤 60%。 消耗 52 点怒气，冷却 9.0 秒。,primary:damage_reduction,减伤 Buff — applyClassSkillPrimaryEffect → player.buffs + updateStats,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
knight,骑士,knight_adv1_2,援护,adv1_2,active,30,rage,60,10000,0,0,0,defense,guard,primary,【援护】援护：3 秒内减伤 50%。 消耗 60 点怒气，冷却 10.0 秒。,primary:guard,援护 — 高减伤 Buff,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
knight,骑士,knight_adv1_3,复仇,adv1_3,active,35,rage,67,11000,2.1,120,0,,,,对 120 码内最近敌人造成 210% 攻击力伤害。 消耗 67 点怒气，冷却 11.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
knight,骑士,knight_adv1_awaken,嘲讽,adv1_awaken,active,20,rage,45,8000,0,120,120,defense,taunt,primary,【嘲讽】嘲讽：4 秒内减伤 30%，吸引附近敌人。 消耗 45 点怒气，冷却 8.0 秒。,primary:taunt,嘲讽 — 减伤 Buff + monster._tauntTarget,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
mage,法师,mage_basic,魔法飞弹,basic,basic,1,mana,0,800,1,55,0,,,,【普攻】对前方目标造成 100% 攻击力伤害。 冷却 0.8 秒。,basic_attack,普攻 — 走玩家普通攻击逻辑 Player.attack()，非 executeClassSkill,config/skill-config.json,js/game-entities.js (Player.attack)
mage,法师,mage_skill1,火球术,skill1,active,3,mana,19,4600,1.8,105,70,burst,fireball,hybrid,【技能】对周围 70 范围内敌人造成 180% 攻击力伤害。 消耗 19 点法力，冷却 4.6 秒。,hybrid:fireball,火球 AOE — 范围伤害 + 爆炸特效,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
mage,法师,mage_skill2,冰甲术,skill2,active,6,mana,40,15000,0,0,0,defense|ice_armor,ice_armor,primary,【防御】冰甲术：8 秒内减伤 15%，近战攻击你的敌人减速 30%。 消耗 40 点法力，冷却 15.0 秒。,primary:ice_armor,冰甲 — 减伤 Buff + applyPlayerDefenseSkillOnHit 近战减速,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
mage,法师,mage_skill3,奥术护盾,skill3,active,15,mana,37,7000,0,0,0,defense,shield,primary,【护盾】奥术护盾：获得相当于最大生命 20% 的护盾，持续 8 秒。 消耗 37 点法力，冷却 7.0 秒。,primary:shield,护盾 — player.buffs.shieldRemaining，takeDamage 时吸收,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
mage,法师,mage_team,闪现,team,active,10,mana,30,6000,0,0,0,utility,blink,primary,【位移】闪现：向面朝方向瞬移 120 码。 消耗 30 点法力，冷却 6.0 秒。,primary:blink,位移 — blinkTo 瞬移 + 短暂无敌,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
marksman,神射手,marksman_adv1_1,穿透箭,adv1_1,active,25,focus,52,9000,2,120,0,,,,对 120 码内最近敌人造成 200% 攻击力伤害。 消耗 52 点集中，冷却 9.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
marksman,神射手,marksman_adv1_2,弱点标记,adv1_2,active,30,focus,60,10000,0,130,0,debuff,mark,primary,【标记】弱点标记：对 130 码内敌人施加印记 6 秒，对其伤害提升 15%。 消耗 60 点集中，冷却 10.0 秒。,primary:mark,标记 — monster._classSkillMark，getClassSkillMarkBonus 加成伤害,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
marksman,神射手,marksman_adv1_3,快速装填,adv1_3,active,35,focus,67,11000,2.1,120,0,,,,对 120 码内最近敌人造成 210% 攻击力伤害。 消耗 67 点集中，冷却 11.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
marksman,神射手,marksman_adv1_awaken,瞄准射击,adv1_awaken,active,20,focus,45,8000,1.95,120,0,burst,,,【觉醒】对 120 码内最近敌人造成 195% 攻击力伤害，附带爆发伤害。 消耗 45 点集中，冷却 8.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
necromancer,死灵法师,necromancer_adv2_1,灵魂收割,adv2_1,active,45,mana,82,13000,2.45,135,0,,,,对 135 码内最近敌人造成 245% 攻击力伤害。 消耗 82 点法力，冷却 13.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
necromancer,死灵法师,necromancer_adv2_2,死亡缠绕,adv2_2,active,50,mana,90,14000,2.5,135,0,control,stun,hybrid,【技能】对 135 码内敌人造成 250% 攻击力伤害，眩晕 2.0 秒。 消耗 90 点法力，冷却 14.0 秒。,hybrid:stun,伤害+眩晕 — takeDamage 后 monster.frozenUntil,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
necromancer,死灵法师,necromancer_adv2_awaken,亡者大军,adv2_awaken,active,40,mana,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点法力，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
necromancer,死灵法师,necromancer_legendary,不朽,legendary,passive,60,mana,0,0,0,135,0,passive,,,【传说被动】不朽：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
necromancer,死灵法师,necromancer_ultimate,冥界之门,ultimate,active,55,mana,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点法力，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
nightblade,夜刃,nightblade_adv2_1,暗影爆发,adv2_1,active,45,energy,82,13000,2.45,135,0,,,,对 135 码内最近敌人造成 245% 攻击力伤害。 消耗 82 点能量，冷却 13.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
nightblade,夜刃,nightblade_adv2_2,致命连击,adv2_2,active,50,energy,90,14000,2.5,135,0,,,,对 135 码内最近敌人造成 250% 攻击力伤害。 消耗 90 点能量，冷却 14.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
nightblade,夜刃,nightblade_adv2_awaken,夜刃斩,adv2_awaken,active,40,energy,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点能量，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
nightblade,夜刃,nightblade_legendary,影灭,legendary,passive,60,energy,0,0,0,135,0,passive,,,【传说被动】影灭：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
nightblade,夜刃,nightblade_ultimate,暗夜降临,ultimate,active,55,energy,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点能量，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
oracle,先知,oracle_adv2_1,神圣干预,adv2_1,active,45,mana,82,13000,0,0,0,heal,heal,primary,【治疗】神圣干预：恢复最大生命 25% 的生命值。 消耗 82 点法力，冷却 13.0 秒。,primary:heal,治疗 — 直接恢复 maxHp 百分比,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
oracle,先知,oracle_adv2_2,群体复苏,adv2_2,active,50,mana,90,14000,0,0,0,heal,heal,primary,【治疗】群体复苏：恢复最大生命 40% 的生命值。 消耗 90 点法力，冷却 14.0 秒。,primary:heal,治疗 — 直接恢复 maxHp 百分比,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
oracle,先知,oracle_adv2_awaken,预言,adv2_awaken,active,40,mana,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点法力，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
oracle,先知,oracle_legendary,全知,legendary,passive,60,mana,0,0,0,135,0,passive,,,【传说被动】全知：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
oracle,先知,oracle_ultimate,命运逆转,ultimate,active,55,mana,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点法力，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
paladin,圣骑士,paladin_adv2_1,神圣之盾,adv2_1,active,45,rage,82,13000,0,0,0,defense,shield,primary,【护盾】神圣之盾：获得相当于最大生命 15% 的护盾，持续 8 秒。 消耗 82 点怒气，冷却 13.0 秒。,primary:shield,护盾 — player.buffs.shieldRemaining，takeDamage 时吸收,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
paladin,圣骑士,paladin_adv2_2,光明审判,adv2_2,active,50,rage,90,14000,2.5,135,0,,,,对 135 码内最近敌人造成 250% 攻击力伤害。 消耗 90 点怒气，冷却 14.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
paladin,圣骑士,paladin_adv2_awaken,神圣打击,adv2_awaken,active,40,rage,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点怒气，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
paladin,圣骑士,paladin_legendary,圣光之心,legendary,passive,60,rage,0,0,0,135,0,passive,,,【传说被动】圣光之心：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
paladin,圣骑士,paladin_ultimate,复活,ultimate,active,55,rage,97,15000,0,0,0,heal,heal,primary,【治疗】复活：恢复最大生命 50% 的生命值。 消耗 97 点怒气，冷却 15.0 秒。,primary:heal,治疗 — 直接恢复 maxHp 百分比,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
phantom,幻影,phantom_adv2_1,虚空箭,adv2_1,active,45,focus,82,13000,2.45,135,0,,,,对 135 码内最近敌人造成 245% 攻击力伤害。 消耗 82 点集中，冷却 13.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
phantom,幻影,phantom_adv2_2,相位转移,adv2_2,active,50,focus,90,14000,0,0,0,utility,blink,primary,【位移】相位转移：向面朝方向瞬移 100 码。 消耗 90 点集中，冷却 14.0 秒。,primary:blink,位移 — blinkTo 瞬移 + 短暂无敌,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
phantom,幻影,phantom_adv2_awaken,幻影分身,adv2_awaken,active,40,focus,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点集中，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
